t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),pg(t),F1(t),F2(t)
3.639997,5.292401,-4,2.019999,0,4.039998,0,4.039998,1.10989,0
3.659997,5.332801,-4,2.019999,0,4.039998,0,4.039998,1.103825,0
3.679997,5.373201,-4,2.019999,0,4.039998,0,4.039998,1.097826,0
3.699997,5.413601,-4,2.019999,0,4.039998,0,4.039998,1.091892,0
3.719997,5.454001,-4,2.019999,0,4.039998,0,4.039998,1.086022,0
3.739997,5.494401,-4,2.019999,0,4.039998,0,4.039998,1.080214,0
3.759997,5.534801,-4,2.019999,0,4.039998,0,4.039998,1.074468,0
3.779997,5.575202,-4,2.019999,0,4.039998,0,4.039998,1.068783,0
3.799997,5.615602,-4,2.019999,0,4.039998,0,4.039998,1.063158,0
3.819997,5.656002,-4,2.019999,0,4.039998,0,4.039998,1.057592,0
3.839997,5.696402,-4,2.019999,0,4.039998,0,4.039998,1.052083,0
3.859997,5.736802,-4,2.019999,0,4.039998,0,4.039998,1.046632,0
3.879997,5.777202,-4,2.019999,0,4.039998,0,4.039998,1.041237,0
3.899997,5.817602,-4,2.019999,0,4.039998,0,4.039998,1.035898,0
3.919997,5.858002,-4,2.019999,0,4.039998,0,4.039998,1.030612,0
3.939997,5.898402,-4,2.019999,0,4.039998,0,4.039998,1.025381,0
3.959997,5.938802,-4,2.019999,0,4.039998,0,4.039998,1.020202,0
3.979997,5.979202,-4,2.019999,0,4.039998,0,4.039998,1.015076,0
3.999997,6.019602,-4,2.019999,0,4.039998,0,4.039998,1.01,0
4.019997,6.060002,-4,2.019999,0,4.039998,0,4.039998,1.004975,0
4.039997,6.100402,-4,2.019999,0,4.039998,0,4.039998,1,0
4.059997,6.140802,-4,2.019999,0,4.039998,0,4.039998,0.995074,0
4.079997,6.181202,-4,2.019999,0,4.039998,0,4.039998,0.9901962,0
4.099997,6.221602,-4,2.019999,0,4.039998,0,4.039998,0.985366,0
4.119997,6.262002,-4,2.019999,0,4.039998,0,4.039998,0.9805827,0
4.139997,6.302402,-4,2.019999,0,4.039998,0,4.039998,0.9758455,0
4.159997,6.342802,-4,2.019999,0,4.039998,0,4.039998,0.971154,0
4.179997,6.383202,-4,2.019999,0,4.039998,0,4.039998,0.9665073,0
