t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),F1(t),F2(t)
3.819997,5.656002,-10,2.019999,0,4.039998,0,1.057592,0
3.839997,5.696402,-10,2.019999,0,4.039998,0,1.052083,0
3.859997,5.736802,-10,2.019999,0,4.039998,0,1.046632,0
3.879997,5.777202,-10,2.019999,0,4.039998,0,1.041237,0
3.899997,5.817602,-10,2.019999,0,4.039998,0,1.035898,0
3.919997,5.858002,-10,2.019999,0,4.039998,0,1.030612,0
3.939997,5.898402,-10,2.019999,0,4.039998,0,1.025381,0
3.959997,5.938802,-10,2.019999,0,4.039998,0,1.020202,0
3.979997,5.979202,-10,2.019999,0,4.039998,0,1.015076,0
3.999997,6.019602,-10,2.019999,0,4.039998,0,1.01,0
4.019997,6.060002,-10,2.019999,0,4.039998,0,1.004975,0
4.039997,6.100402,-10,2.019999,0,4.039998,0,1,0
4.059997,6.140802,-10,2.019999,0,4.039998,0,0.995074,0
4.079997,6.181202,-10,2.019999,0,4.039998,0,0.9901962,0
4.099997,6.221602,-10,2.019999,0,4.039998,0,0.985366,0
4.119997,6.262002,-10,2.019999,0,4.039998,0,0.9805827,0
4.139997,6.302402,-10,2.019999,0,4.039998,0,0.9758455,0
4.159997,6.342802,-10,2.019999,0,4.039998,0,0.971154,0
4.179997,6.383202,-10,2.019999,0,4.039998,0,0.9665073,0
4.199997,6.423602,-10,2.019999,0,4.039998,0,0.9619049,0
4.219997,6.464002,-10,2.019999,0,4.039998,0,0.9573461,0
4.239997,6.504402,-10,2.019999,0,4.039998,0,0.9528303,0
4.259997,6.544802,-10,2.019999,0,4.039998,0,0.9483569,0
4.279997,6.585202,-10,2.019999,0,4.039998,0,0.9439254,0
4.299997,6.625602,-10,2.019999,0,4.039998,0,0.939535,0
4.319997,6.666002,-10,2.019999,0,4.039998,0,0.9351853,0
4.339997,6.706402,-10,2.019999,0,4.039998,0,0.9308757,0
4.359997,6.746802,-10,2.019999,0,4.039998,0,0.9266056,0
4.379997,6.787202,-10,2.019999,0,4.039998,0,0.9223745,0
4.399997,6.827602,-10,2.019999,0,4.039998,0,0.918182,0
4.419997,6.868002,-10,2.019999,0,4.039998,0,0.9140273,0
4.439997,6.908402,-10,2.019999,0,4.039998,0,0.90991,0
4.459997,6.948802,-10,2.019999,0,4.039998,0,0.9058297,0
4.479997,6.989202,-10,2.019999,0,4.039998,0,0.9017859,0
4.499997,7.029603,-10,2.019999,0,4.039998,0,0.8977779,0
4.519997,7.070003,-10,2.019999,0,4.039998,0,0.8938054,0
4.539997,7.110403,-10,2.019999,0,4.039998,0,0.889868,0
4.559997,7.150803,-10,2.019999,0,4.039998,0,0.885965,0
4.579997,7.191203,-10,2.019999,0,4.039998,0,0.8820962,0
4.599997,7.231603,-10,2.019999,0,4.039998,0,0.878261,0
4.619997,7.272003,-10,2.019999,0,4.039998,0,0.874459,0
4.639997,7.312403,-10,2.019999,0,4.039998,0,0.8706898,0
4.659997,7.352803,-10,2.019999,0,4.039998,0,0.8669529,0
4.679996,7.393203,-10,2.019999,0,4.039998,0,0.863248,0
4.699996,7.433603,-10,2.019999,0,4.039998,0,0.8595746,0
4.719996,7.474003,-10,2.019999,0,4.039998,0,0.8559324,0
4.739996,7.514403,-10,2.019999,0,4.039998,0,0.8523208,0
4.759996,7.554803,-10,2.019999,0,4.039998,0,0.8487396,0
4.779996,7.595203,-10,2.019999,0,4.039998,0,0.8451884,0
4.799996,7.635603,-10,2.019999,0,4.039998,0,0.8416668,0
4.819996,7.676003,-10,2.019999,0,4.039998,0,0.8381744,0
4.839996,7.716403,-10,2.019999,0,4.039998,0,0.8347109,0
4.859996,7.756803,-10,2.019999,0,4.039998,0,0.8312759,0
4.879996,7.797203,-10,2.019999,0,4.039998,0,0.827869,0
4.899996,7.837603,-10,2.019999,0,4.039998,0,0.82449,0
4.919996,7.878003,-10,2.019999,0,4.039998,0,0.8211383,0
4.939996,7.918403,-10,2.019999,0,4.039998,0,0.8178139,0
4.959996,7.958803,-10,2.019999,0,4.039998,0,0.8145162,0
4.979996,7.999203,-10,2.019999,0,4.039998,0,0.8112451,0
4.999996,8.039603,-10,2.019999,0,4.039998,0,0.8080001,0
5.019996,8.080003,-10,2.019999,0,4.039998,0,0.804781,0
5.039996,8.120402,-10,2.019999,0,4.039998,0,0.8015875,0
5.059996,8.160802,-10,2.019999,0,4.039998,0,0.7984191,0
5.079996,8.201201,-10,2.019999,0,4.039998,0,0.7952757,0
5.099996,8.241601,-10,2.019999,0,4.039998,0,0.792157,0
5.119996,8.282001,-10,2.019999,0,4.039998,0,0.7890626,0
5.139996,8.3224,-10,2.019999,0,4.039998,0,0.7859923,0
5.159996,8.3628,-10,2.019999,0,4.039998,0,0.7829459,0
5.179996,8.403199,-10,2.019999,0,4.039998,0,0.7799229,0
5.199996,8.443599,-10,2.019999,0,4.039998,0,0.7769232,0
5.219996,8.483998,-10,2.019999,0,4.039998,0,0.7739465,0
5.239996,8.524398,-10,2.019999,0,4.039998,0,0.7709925,0
5.259996,8.564797,-10,2.019999,0,4.039998,0,0.768061,0
5.279996,8.605197,-10,2.019999,0,4.039998,0,0.7651516,0
5.299996,8.645597,-10,2.019999,0,4.039998,0,0.7622643,0
5.319996,8.685996,-10,2.019999,0,4.039998,0,0.7593986,0
5.339996,8.726396,-10,2.019999,0,4.039998,0,0.7565544,0
5.359996,8.766795,-10,2.019999,0,4.039998,0,0.7537315,0
5.379996,8.807195,-10,2.019999,0,4.039998,0,0.7509295,0
5.399996,8.847594,-10,2.019999,0,4.039998,0,0.7481483,0
5.419996,8.887994,-10,2.019999,0,4.039998,0,0.7453876,0
5.439996,8.928393,-10,2.019999,0,4.039998,0,0.7426472,0
5.459996,8.968793,-10,2.019999,0,4.039998,0,0.7399269,0
5.479996,9.009192,-10,2.019999,0,4.039998,0,0.7372264,0
5.499996,9.049592,-10,2.019999,0,4.039998,0,0.7345456,0
5.519996,9.089992,-10,2.019999,0,4.039998,0,0.7318842,0
5.539996,9.130391,-10,2.019999,0,4.039998,0,0.729242,0
5.559996,9.170791,-10,2.019999,0,4.039998,0,0.7266188,0
5.579996,9.21119,-10,2.019999,0,4.039998,0,0.7240145,0
5.599996,9.25159,-10,2.019999,0,4.039998,0,0.7214287,0
5.619996,9.291989,-10,2.019999,0,4.039998,0,0.7188613,0
5.639996,9.332389,-10,2.019999,0,4.039998,0,0.7163122,0
5.659996,9.372788,-10,2.019999,0,4.039998,0,0.7137811,0
5.679996,9.413188,-10,2.019999,0,4.039998,0,0.7112677,0
5.699996,9.453588,-10,2.019999,0,4.039998,0,0.7087721,0
5.719995,9.493987,-10,2.019999,0,4.039998,0,0.7062938,0
5.739995,9.534387,-10,2.019999,0,4.039998,0,0.7038329,0
5.759995,9.574786,-10,2.019999,0,4.039998,0,0.701389,0
5.779995,9.615186,-10,2.019999,0,4.039998,0,0.6989621,0
5.799995,9.655585,-10,2.019999,0,4.039998,0,0.6965519,0
5.819995,9.695985,-10,2.019999,0,4.039998,0,0.6941582,0
5.839995,9.736384,-10,2.019999,0,4.039998,0,0.6917809,0
5.859995,9.776784,-10,2.019999,0,4.039998,0,0.6894199,0
5.879995,9.817183,-10,2.019999,0,4.039998,0,0.687075,0
5.899995,9.857583,-10,2.019999,0,4.039998,0,0.6847459,0
5.919995,9.897983,-10,2.019999,0,4.039998,0,0.6824326,0
5.939995,9.938382,-10,2.019999,0,4.039998,0,0.6801348,0
5.959995,9.978782,-10,2.019999,0,4.039998,0,0.6778525,0
5.979995,10.01918,-10,2.019999,0,4.039998,0,0.6755854,0
5.999995,10.05958,-10,2.019999,0,4.039998,0,0.6733335,0
6.019995,10.09998,-10,2.019999,0,4.039998,0,0.6710965,0
6.039995,10.14038,-10,2.019999,0,4.039998,0,0.6688743,0
6.059995,10.18078,-10,2.019999,0,4.039998,0,0.6666668,0
6.079995,10.22118,-10,2.019999,0,4.039998,0,0.6644738,0
6.099995,10.26158,-10,2.019999,0,4.039998,0,0.6622952,0
6.119995,10.30198,-10,2.019999,0,4.039998,0,0.6601309,0
6.139995,10.34238,-10,2.019999,0,4.039998,0,0.6579806,0
6.159995,10.38278,-10,2.019999,0,4.039998,0,0.6558443,0
6.179995,10.42318,-10,2.019999,0,4.039998,0,0.6537218,0
6.199995,10.46358,-10,2.019999,0,4.039998,0,0.6516131,0
6.219995,10.50398,-10,2.019999,0,4.039998,0,0.6495178,0
6.239995,10.54438,-10,2.019999,0,4.039998,0,0.647436,0
6.259995,10.58477,-10,2.019999,0,4.039998,0,0.6453676,0
6.279995,10.62517,-10,2.019999,0,4.039998,0,0.6433122,0
6.299995,10.66557,-10,2.019999,0,4.039998,0,0.64127,0
6.319995,10.70597,-10,2.019999,0,4.039998,0,0.6392406,0
6.339995,10.74637,-10,2.019999,0,4.039998,0,0.6372241,0
6.359995,10.78677,-10,2.019999,0,4.039998,0,0.6352202,0
6.379995,10.82717,-10,2.019999,0,4.039998,0,0.633229,0
6.399995,10.86757,-10,2.019999,0,4.039998,0,0.6312501,0
6.419995,10.90797,-10,2.019999,0,4.039998,0,0.6292836,0
6.439995,10.94837,-10,2.019999,0,4.039998,0,0.6273293,0
6.459995,10.98877,-10,2.019999,0,4.039998,0,0.6253871,0
6.479995,11.02917,-10,2.019999,0,4.039998,0,0.6234569,0
6.499995,11.06957,-10,2.019999,0,4.039998,0,0.6215386,0
6.519995,11.10997,-10,2.019999,0,4.039998,0,0.619632,0
6.539995,11.15037,-10,2.019999,0,4.039998,0,0.6177371,0
6.559995,11.19077,-10,2.019999,0,4.039998,0,0.6158538,0
6.579995,11.23117,-10,2.019999,0,4.039998,0,0.6139819,0
6.599995,11.27157,-10,2.019999,0,4.039998,0,0.6121213,0
