t,x(t),v(t),p(t),F(t)
26.70042,-14.38381,-1.065,-2.13,-0.07977401
26.72042,-14.40511,-1.065,-2.13,-0.0797143
26.74042,-14.42641,-1.065,-2.13,-0.07965468
26.76042,-14.44771,-1.065,-2.13,-0.07959514
26.78042,-14.46901,-1.065,-2.13,-0.0795357
26.80042,-14.49031,-1.065,-2.13,-0.07947634
26.82042,-14.51161,-1.065,-2.13,-0.07941708
26.84042,-14.53291,-1.065,-2.13,-0.0793579
26.86042,-14.55421,-1.065,-2.13,-0.07929881
26.88042,-14.57551,-1.065,-2.13,-0.07923981
26.90042,-14.59681,-1.065,-2.13,-0.07918089
26.92043,-14.61811,-1.065,-2.13,-0.07912207
26.94043,-14.63941,-1.065,-2.13,-0.07906333
26.96043,-14.66071,-1.065,-2.13,-0.07900468
26.98043,-14.68201,-1.065,-2.13,-0.07894611
27.00043,-14.70331,-1.065,-2.13,-0.07888763
27.02043,-14.72461,-1.065,-2.13,-0.07882924
27.04043,-14.74591,-1.065,-2.13,-0.07877093
27.06043,-14.76721,-1.065,-2.13,-0.07871271
27.08043,-14.78851,-1.065,-2.13,-0.07865457
27.10043,-14.80981,-1.065,-2.13,-0.07859652
27.12043,-14.83111,-1.065,-2.13,-0.07853857
27.14043,-14.85242,-1.065,-2.13,-0.07848069
27.16043,-14.87372,-1.065,-2.13,-0.0784229
27.18043,-14.89502,-1.065,-2.13,-0.07836519
27.20043,-14.91632,-1.065,-2.13,-0.07830757
27.22043,-14.93762,-1.065,-2.13,-0.07825003
27.24043,-14.95892,-1.065,-2.13,-0.07819258
27.26043,-14.98022,-1.065,-2.13,-0.07813521
27.28043,-15.00152,-1.065,-2.13,-0.07807793
27.30043,-15.02282,-1.065,-2.13,-0.07802072
27.32043,-15.04412,-1.065,-2.13,-0.07796361
27.34044,-15.06542,-1.065,-2.13,-0.07790657
27.36044,-15.08672,-1.065,-2.13,-0.07784963
27.38044,-15.10802,-1.065,-2.13,-0.07779276
27.40044,-15.12932,-1.065,-2.13,-0.07773598
27.42044,-15.15062,-1.065,-2.13,-0.07767928
27.44044,-15.17192,-1.065,-2.13,-0.07762266
27.46044,-15.19322,-1.065,-2.13,-0.07756612
27.48044,-15.21452,-1.065,-2.13,-0.07750967
27.50044,-15.23582,-1.065,-2.13,-0.0774533
27.52044,-15.25712,-1.065,-2.13,-0.07739701
27.54044,-15.27842,-1.065,-2.13,-0.0773408
27.56044,-15.29972,-1.065,-2.13,-0.07728467
27.58044,-15.32102,-1.065,-2.13,-0.07722863
27.60044,-15.34232,-1.065,-2.13,-0.07717267
27.62044,-15.36362,-1.065,-2.13,-0.07711679
27.64044,-15.38492,-1.065,-2.13,-0.07706098
27.66044,-15.40622,-1.065,-2.13,-0.07700526
27.68044,-15.42752,-1.065,-2.13,-0.07694963
27.70044,-15.44882,-1.065,-2.13,-0.07689406
27.72044,-15.47012,-1.065,-2.13,-0.07683858
27.74044,-15.49142,-1.065,-2.13,-0.07678319
27.76044,-15.51272,-1.065,-2.13,-0.07672787
27.78045,-15.53403,-1.065,-2.13,-0.07667262
27.80045,-15.55533,-1.065,-2.13,-0.07661746
27.82045,-15.57663,-1.065,-2.13,-0.07656238
27.84045,-15.59793,-1.065,-2.13,-0.07650738
27.86045,-15.61923,-1.065,-2.13,-0.07645246
27.88045,-15.64053,-1.065,-2.13,-0.07639761
27.90045,-15.66183,-1.065,-2.13,-0.07634285
27.92045,-15.68313,-1.065,-2.13,-0.07628816
27.94045,-15.70443,-1.065,-2.13,-0.07623355
27.96045,-15.72573,-1.065,-2.13,-0.07617902
27.98045,-15.74703,-1.065,-2.13,-0.07612457
28.00045,-15.76833,-1.065,-2.13,-0.07607019
28.02045,-15.78963,-1.065,-2.13,-0.0760159
28.04045,-15.81093,-1.065,-2.13,-0.07596167
28.06045,-15.83223,-1.065,-2.13,-0.07590754
28.08045,-15.85353,-1.065,-2.13,-0.07585347
28.10045,-15.87483,-1.065,-2.13,-0.07579948
28.12045,-15.89613,-1.065,-2.13,-0.07574557
28.14045,-15.91743,-1.065,-2.13,-0.07569173
28.16045,-15.93873,-1.065,-2.13,-0.07563797
28.18045,-15.96003,-1.065,-2.13,-0.07558429
28.20045,-15.98133,-1.065,-2.13,-0.07553069
28.22046,-16.00263,-1.065,-2.13,-0.07547715
28.24046,-16.02393,-1.065,-2.13,-0.0754237
28.26046,-16.04523,-1.065,-2.13,-0.07537032
28.28046,-16.06653,-1.065,-2.13,-0.07531702
28.30046,-16.08783,-1.065,-2.13,-0.07526379
28.32046,-16.10913,-1.065,-2.13,-0.07521064
28.34046,-16.13043,-1.065,-2.13,-0.07515756
28.36046,-16.15173,-1.065,-2.13,-0.07510456
