t,x(t),v(t),F(t) (added)
12.22009,9.372858,3.580576,-937.2858
12.24009,9.440721,3.393119,-944.0721
12.26009,9.504807,3.204304,-950.4807
12.28009,9.565091,3.014208,-956.5091
12.30009,9.62155,2.822906,-962.155
12.32009,9.674159,2.630476,-967.4159
12.34009,9.722898,2.436992,-972.2899
12.36009,9.767749,2.242534,-976.7749
12.38009,9.808692,2.047179,-980.8692
12.40009,9.845712,1.851006,-984.5712
12.42009,9.878794,1.654091,-987.8794
12.44009,9.907924,1.456516,-990.7924
12.4601,9.933091,1.258357,-993.3091
12.4801,9.954285,1.059695,-995.4285
12.5001,9.971497,0.8606095,-997.1497
12.5201,9.98472,0.6611796,-998.472
12.5401,9.99395,0.4614852,-999.395
12.5601,9.999182,0.2616062,-999.9182
12.5801,10.00041,0.06162259,-1000.041
12.6001,9.997646,-0.1383857,-999.7646
12.6201,9.99088,-0.3383386,-999.088
12.6401,9.980117,-0.5381562,-998.0117
12.6601,9.965362,-0.7377585,-996.5361
12.6801,9.94662,-0.9370657,-994.662
12.7001,9.9239,-1.135998,-992.39
12.7201,9.89721,-1.334476,-989.721
12.7401,9.866562,-1.53242,-986.6562
12.7601,9.831966,-1.729751,-983.1967
12.7801,9.793439,-1.926391,-979.3439
12.8001,9.750994,-2.12226,-975.0994
12.8201,9.704648,-2.31728,-970.4648
12.8401,9.654421,-2.511373,-965.4421
12.8601,9.600331,-2.704461,-960.0331
12.88011,9.542402,-2.896468,-954.2402
12.90011,9.480656,-3.087316,-948.0656
12.92011,9.415117,-3.276929,-941.5117
12.94011,9.345813,-3.465231,-934.5813
