t,z(t),v(t),F(t) (added)
11.44007,-1.330626,-2.87953,133.0626
11.46007,-1.387684,-2.852917,138.7684
11.48007,-1.444187,-2.825164,144.4187
11.50007,-1.500113,-2.79628,150.0113
11.52007,-1.555438,-2.766278,155.5438
11.54007,-1.610142,-2.735169,161.0142
11.56007,-1.664201,-2.702966,166.4201
11.58008,-1.717595,-2.669682,171.7595
11.60008,-1.770301,-2.63533,177.0301
11.62008,-1.8223,-2.599924,182.23
11.64008,-1.873569,-2.563478,187.3569
11.66008,-1.924089,-2.526007,192.4089
11.68008,-1.97384,-2.487525,197.384
11.70008,-2.022801,-2.448048,202.2801
11.72008,-2.070953,-2.407592,207.0953
11.74008,-2.118276,-2.366173,211.8276
11.76008,-2.164752,-2.323808,216.4752
11.78008,-2.210362,-2.280513,221.0362
11.80008,-2.255089,-2.236305,225.5089
11.82008,-2.298913,-2.191203,229.8913
11.84008,-2.341817,-2.145225,234.1817
11.86008,-2.383785,-2.098389,238.3785
11.88008,-2.424799,-2.050713,242.4799
11.90008,-2.464844,-2.002217,246.4843
11.92008,-2.503902,-1.95292,250.3902
11.94008,-2.541959,-1.902842,254.1959
11.96008,-2.578999,-1.852003,257.8999
11.98008,-2.615007,-1.800423,261.5007
12.00008,-2.64997,-1.748123,264.9969
12.02009,-2.683872,-1.695124,268.3872
12.04009,-2.716701,-1.641446,271.6701
12.06009,-2.748443,-1.587112,274.8443
12.08009,-2.779086,-1.532143,277.9086
12.10009,-2.808617,-1.476562,280.8617
12.12009,-2.837025,-1.420389,283.7025
12.14009,-2.864298,-1.363649,286.4298
12.16009,-2.890425,-1.306363,289.0425
12.18009,-2.915396,-1.248554,291.5396
12.20009,-2.939201,-1.190246,293.9201
12.22009,-2.96183,-1.131462,296.183
12.24009,-2.983275,-1.072226,298.3275
12.26009,-3.003526,-1.01256,300.3526
12.28009,-3.022576,-0.9524897,302.2576
12.30009,-3.040417,-0.8920382,304.0417
12.32009,-3.057042,-0.8312299,305.7042
12.34009,-3.072443,-0.770089,307.2444
12.36009,-3.086616,-0.7086402,308.6616
12.38009,-3.099555,-0.6469079,309.9554
12.40009,-3.111253,-0.5849168,311.1253
12.42009,-3.121707,-0.5226917,312.1707
12.44009,-3.130912,-0.4602576,313.0912
12.4601,-3.138865,-0.3976394,313.8864
12.4801,-3.145562,-0.3348621,314.5562
12.5001,-3.151001,-0.2719508,315.1001
12.5201,-3.155179,-0.2089308,315.5179
12.5401,-3.158096,-0.1458273,315.8096
12.5601,-3.159749,-0.08266535,315.9749
12.5801,-3.160138,-0.01947037,316.0138
12.6001,-3.159264,0.04373239,315.9264
12.6201,-3.157125,0.1069177,315.7125
12.6401,-3.153724,0.1700602,315.3724
12.6601,-3.149061,0.2331346,314.9061
12.6801,-3.143139,0.2961158,314.3139
12.7001,-3.135959,0.3589786,313.5959
12.7201,-3.127525,0.4216978,312.7525
12.7401,-3.11784,0.4842483,311.784
12.7601,-3.106908,0.5466052,310.6908
12.7801,-3.094733,0.6087433,309.4733
